,name,model,bedrooms,bathrooms,district,region,planning_area,subszone,lat,lng,freehold,since_built_year,no_of_units,area_size,since_listing_month,additional_rooms,price
36,4,apartment,4,3.0,27,0,sembawang,sembawang springs,1.4401512884871297,103.82780133663,0,92.0,448.0,1302.0,4,0,2050400.0
37,4,condominium,1,1.0,13,1,toa payoh,joo seng,1.34099076651783,103.880849820172,0,6.0,868.0,463.0,15,0,748000.0
38,4,apartment,2,2.0,11,1,novena,moulmein,1.3156928164723998,103.841615456446,1,6.0,180.0,775.0,4,1,2176900.0
39,1,apartment,2,2.0,1,1,downtown core,central subzone,1.27671498507474,103.853326932298,0,5.0,1042.0,1005.0,6,0,2860000.0
40,4,apartment,2,1.0,10,1,tanglin,nassim,1.3164820339781698,103.829897153451,1,92.0,115.0,635.0,4,0,1892000.0
41,0,apartment,3,3.0,21,1,bukit timah,anak bukit,1.33990853882395,103.767523150763,1,62.0,466.4,1033.0,3,0,2263800.0
42,4,condominium,4,4.0,17,0,pasir ris,flora drive,1.35516120754023,103.967844585142,0,7.0,501.0,1539.0,4,0,1859000.0
43,1,apartment,1,1.0,1,1,downtown core,central subzone,1.2772242561628302,103.853694940241,0,5.0,1042.0,732.0,3,0,1837000.0
44,4,condominium,1,1.0,14,1,geylang,aljunied,1.3191895872053898,103.881380824314,0,9.0,1024.0,560.0,3,0,946000.0
45,4,apartment,4,3.0,14,1,geylang,aljunied,1.31391724536932,103.883271343775,1,92.0,34.0,1313.0,4,0,2168100.0
46,4,condominium,3,3.0,4,1,bukit merah,maritime square,1.26489010829928,103.816454088109,0,6.0,366.0,1500.0,4,0,3850000.0
47,4,condominium,3,3.0,16,0,bedok,bedok south,1.31569810361721,103.942695656331,1,15.0,138.0,1216.0,4,0,2145000.0
48,4,apartment,2,2.0,13,1,toa payoh,bidadari,1.33846074116521,103.871405511562,0,62.0,667.0,743.0,4,0,1772100.0
49,4,condominium,2,2.0,5,1,queenstown,pasir panjang 2,1.28071186552745,103.79096314844,0,62.0,548.0,786.0,3,1,1408000.0
50,3,condominium,4,4.0,10,1,newton,orange grove,1.31083945362027,103.828325367461,1,8.0,156.0,2476.0,4,0,7891400.0
51,4,condominium,3,3.0,1,1,downtown core,central subzone,1.279625798918,103.854987203774,0,12.0,428.0,1636.0,6,0,4158000.0
52,4,condominium,2,2.0,21,1,bukit timah,swiss club,1.3382224855350802,103.781375965144,0,33.0,215.0,786.0,4,0,1727000.0
53,4,executive condominium,3,2.0,19,0,hougang,kangkar,1.37669739983417,103.903413816668,0,7.0,394.0,1227.0,12,0,1353000.0
54,4,apartment,4,4.0,9,1,novena,moulmein,1.31273110891936,103.840805628022,0,92.0,378.0,1528.0,4,0,3848900.0
55,4,condominium,2,1.0,10,1,bukit timah,farrer court,1.31591024154147,103.803764384395,0,8.0,1715.0,635.0,4,0,1485000.0
56,4,apartment,3,2.0,9,1,river valley,institution hill,1.2952856447523702,103.838567440302,1,62.0,51.0,947.0,4,0,2620200.0
57,4,apartment,3,4.0,9,1,museum,dhoby ghaut,1.29980932003035,103.846962526481,1,13.0,50.0,3659.0,6,0,7590000.0
58,4,condominium,4,6.0,10,1,newton,orange grove,1.31042398715597,103.827913403265,1,8.0,43.0,3821.0,11,0,17806800.0
59,4,condominium,1,1.0,15,0,bedok,frankel,1.3146196512206,103.932237491582,1,10.0,116.0,409.0,4,0,715000.0
60,4,apartment,2,2.0,3,1,bukit merah,kampong tiong bahru,1.2763901192721498,103.830271330171,0,92.0,1074.0,657.0,4,0,1383800.0
61,4,apartment,4,4.0,2,1,bukit merah,everton park,1.27588976787545,103.83815170912202,1,62.0,262.0,1346.0,4,0,4085400.0
62,0,apartment,2,2.0,21,1,bukit timah,anak bukit,1.33990853882395,103.767523150763,1,62.0,928.0,689.0,5,0,1603800.0
63,4,apartment,5,4.0,2,1,bukit merah,everton park,1.27588976787545,103.83815170912202,1,62.0,262.0,1819.0,3,0,6248000.0
64,4,condominium,2,1.0,10,1,bukit timah,farrer court,1.3160902186364198,103.802300019532,0,8.0,1715.0,937.0,6,0,1793000.0
65,4,condominium,2,2.0,21,0,clementi,sunset way,1.33102936528877,103.767519926051,1,92.0,660.0,700.0,3,0,1398100.0
66,4,condominium,2,2.0,16,0,bedok,bedok south,1.32424062857487,103.945166152749,0,5.0,748.0,840.0,6,0,1438800.0
67,4,condominium,4,4.0,10,1,bukit timah,holland road,1.33161839267294,103.794252400987,1,1.0,285.0,1475.0,4,1,3940600.0
68,4,condominium,1,1.0,3,1,queenstown,margaret drive,1.29573433474414,103.806030198974,0,5.0,845.0,474.0,13,0,935000.0
69,4,apartment,1,1.0,10,1,tanglin,nassim,1.3178394716996498,103.826223650676,1,9.0,44.0,947.0,6,0,1870000.0
70,4,apartment,2,2.0,9,1,river valley,oxley,1.29661070295127,103.838583743882,1,10.0,130.0,883.0,4,0,2449600.0
71,4,apartment,3,2.0,13,0,serangoon,lorong chuan,1.34454437704007,103.868923396673,1,13.0,65.0,1572.0,4,0,2255000.0
72,4,condominium,2,2.0,18,0,tampines,tampines east,1.34503342838494,103.946749425598,0,62.0,2203.0,678.0,4,0,1210000.0
73,4,apartment,2,2.0,10,1,tanglin,nassim,1.31568887219293,103.832317948898,1,1.0,52.0,743.0,4,0,2679600.0
74,4,apartment,2,2.0,11,1,novena,moulmein,1.31467262956125,103.839010845653,1,62.0,340.0,667.0,4,0,1994300.0
75,3,condominium,4,3.0,10,1,newton,orange grove,1.31083945362027,103.828325367461,1,8.0,156.0,5456.0,4,1,36756500.0
76,4,condominium,3,3.0,8,1,kallang,lavender,1.30928782407603,103.857584554973,1,52.0,466.4,1442.0,13,0,2750000.0
77,4,apartment,3,3.0,7,1,downtown core,city hall,1.2963566643980902,103.85736876917,0,1.0,219.0,1324.0,4,0,4610100.0
78,4,apartment,4,4.0,5,1,queenstown,one north,1.30326050404129,103.789209731059,0,-1.0,165.0,1259.0,3,1,2651000.0
79,4,executive condominium,3,3.0,27,0,sembawang,sembawang east,1.4484828125566205,103.827500614159,0,-1.0,413.0,1044.0,4,0,1234200.0
80,4,apartment,3,2.0,19,0,hougang,kovan,1.36721571020099,103.887069987475,0,92.0,1410.0,936.0,4,0,1439900.0
81,4,apartment,2,1.0,19,0,serangoon,serangoon garden,1.36556375666326,103.87364194752,0,-1.0,1052.0,624.0,3,0,1229800.0
82,4,condominium,2,2.0,14,1,geylang,aljunied,1.31640485669867,103.887906763671,0,8.0,1399.0,700.0,5,0,1538900.0
83,4,apartment,4,4.0,5,0,clementi,west coast,1.31641321892511,103.757451263571,1,6.0,136.0,2863.0,3,0,2695000.0
84,4,condominium,2,1.0,22,0,jurong east,jurong gateway,1.33555731797921,103.742416815373,0,6.0,738.0,624.0,6,0,1097800.0
85,4,condominium,2,2.0,10,1,bukit timah,farrer court,1.3160902186364198,103.802300019532,0,8.0,1715.0,1076.0,3,0,1958000.0
86,4,apartment,3,2.0,19,1,toa payoh,joo seng,1.34036185896759,103.883846444139,0,-1.0,115.0,947.0,4,0,1822700.0
87,4,apartment,1,1.0,3,1,outram,pearl's hill,1.2829614865958898,103.839814598308,0,92.0,774.0,431.0,4,0,1221000.0
88,4,condominium,3,3.0,9,1,river valley,institution hill,1.29474075956073,103.836583709306,1,-1.0,376.0,1141.0,4,0,3603600.0
89,4,condominium,7,5.0,7,1,downtown core,nicoll,1.30101092385674,103.862484057069,0,26.0,360.0,11130.0,10,0,28380000.0
90,4,condominium,4,4.0,23,0,bukit batok,hillview,1.36286208839026,103.763433915546,0,92.0,564.0,1259.0,4,0,2090000.0
91,4,apartment,2,1.0,12,1,novena,balestier,1.32696539864482,103.84367423097,1,6.0,154.0,452.0,6,0,913000.0
92,4,apartment,2,3.0,10,1,orchard,tanglin,1.3049543207656202,103.827627471264,1,12.0,154.0,1313.0,3,0,5263500.0
93,4,apartment,3,2.0,6,1,singapore river,clarke quay,1.2914248297393,103.844383363038,0,9.0,696.0,938.0,4,0,2750000.0
94,4,condominium,3,3.0,27,0,yishun,lower seletar,1.4180713949583403,103.84790678249,0,6.0,420.0,2551.0,6,0,2795100.0
95,4,condominium,1,1.0,19,0,hougang,kangkar,1.37557855184255,103.903316771617,0,7.0,493.0,732.0,4,1,935000.0
96,4,apartment,2,2.0,14,1,geylang,aljunied,1.31131219787605,103.882972095616,1,5.0,137.0,721.0,4,0,1426700.0
97,4,apartment,1,1.0,10,1,tanglin,nassim,1.3178394716996498,103.826223650676,1,9.0,44.0,377.0,3,0,1064800.0
98,4,apartment,3,3.0,9,1,river valley,leonie hill,1.29906600768056,103.832068608699,1,11.0,53.0,1754.0,6,0,4370300.0
99,4,apartment,4,3.0,15,0,bedok,frankel,1.31671012798955,103.911427920628,1,92.0,31.0,1184.0,4,0,2267000.0
100,0,apartment,2,1.0,21,1,bukit timah,anak bukit,1.33990853882395,103.767523150763,1,62.0,928.0,570.0,5,0,1262800.0
101,4,condominium,1,1.0,12,1,toa payoh,braddell,1.33783870484494,103.846559772458,0,10.0,590.0,689.0,5,0,1320000.0
102,4,apartment,3,3.0,7,1,downtown core,bugis,1.29916295967817,103.857859536947,0,5.0,660.0,1722.0,3,0,4642000.0
103,4,condominium,2,1.0,14,0,bedok,kaki bukit,1.32936720206385,103.905791323853,1,92.0,237.0,635.0,12,0,1299100.0
104,4,condominium,3,3.0,9,1,river valley,one tree hill,1.30376655553905,103.830033474096,1,8.0,54.0,2260.0,11,0,8668000.0
105,4,condominium,2,2.0,14,1,geylang,aljunied,1.31334216639182,103.887624564305,1,-1.0,466.4,1152.0,4,0,1320000.0
106,4,apartment,2,2.0,10,1,orchard,tanglin,1.3049543207656202,103.827627471264,1,12.0,154.0,1313.0,4,0,5263500.0
107,4,executive condominium,4,4.0,27,0,sembawang,sembawang east,1.4477847128746102,103.827451281642,0,-1.0,413.0,1399.0,4,0,1812800.0
108,4,apartment,3,3.0,14,1,geylang,aljunied,1.31941278190941,103.8794959606,0,62.0,566.0,1184.0,4,0,2099900.0
109,4,condominium,3,2.0,19,0,hougang,lorong ah soo,1.36175110952447,103.891446797961,1,4.0,222.0,904.0,3,0,1705000.0
110,4,condominium,3,3.0,11,1,novena,moulmein,1.31467262956125,103.839010845653,1,62.0,340.0,1163.0,4,0,3421000.0
111,4,apartment,3,2.0,6,1,downtown core,city hall,1.29298775382221,103.851046829843,0,6.0,39.0,6609.0,5,0,27423000.0
112,4,condominium,4,3.0,4,1,southern islands,sentosa,1.24678687668364,103.844402093991,0,13.0,249.0,2583.0,4,1,5115000.0
113,4,condominium,3,3.0,18,0,tampines,simei,1.34120980441122,103.956288849924,0,10.0,646.0,1324.0,6,0,1578500.0
114,4,condominium,3,3.0,28,0,serangoon,seletar hills,1.38653998627,103.869207772374,0,7.0,276.0,2315.0,7,0,2420000.0
115,4,condominium,1,1.0,10,1,tanglin,nassim,1.31432631656582,103.831065213527,1,57.0,117.0,495.0,4,0,1563800.0
116,4,apartment,2,2.0,13,1,toa payoh,bidadari,1.3388489988881498,103.871424136458,0,62.0,667.0,743.0,4,0,1871100.0
117,4,apartment,3,3.0,15,1,marine parade,mountbatten,1.29647219511777,103.891034649257,1,92.0,200.0,1109.0,3,0,3047000.0
118,4,apartment,5,4.0,19,0,serangoon,serangoon garden,1.36568309360788,103.874037846175,0,-1.0,1052.0,2325.0,3,1,2702700.0
119,4,condominium,4,5.0,4,1,southern islands,sentosa,1.24297424636053,103.839164641252,0,11.0,124.0,3789.0,10,0,7755000.0
120,4,apartment,2,2.0,23,0,bukit panjang,dairy farm,1.3655707838852,103.77504908361,0,92.0,460.0,721.0,3,0,1313600.0
121,4,condominium,2,2.0,5,0,clementi,clementi west,1.29576313642746,103.766122279701,1,7.0,131.0,1442.0,4,1,2197800.0
122,4,apartment,3,3.0,15,0,bedok,frankel,1.31101225037145,103.91104219781602,1,-1.0,22.0,1216.0,4,0,2506800.0
123,5,condominium,2,2.0,4,1,bukit merah,maritime square,1.26742739055301,103.813671410135,0,11.0,1129.0,1077.0,8,0,2189000.0
124,4,apartment,4,5.0,15,1,marine parade,marine parade,1.30234997893113,103.901267900768,1,2.0,139.0,1593.0,4,0,4644200.0
125,4,condominium,3,2.0,19,0,serangoon,upper paya lebar,1.34523265795055,103.879382616118,1,37.0,250.0,850.0,4,0,2026200.0
126,4,condominium,5,4.0,4,1,southern islands,sentosa,1.24297424636053,103.839164641252,0,11.0,124.0,3940.0,6,0,7484400.0
127,4,apartment,2,1.0,12,1,novena,balestier,1.32696539864482,103.84367423097,1,6.0,154.0,484.0,14,0,935000.0
128,4,apartment,2,2.0,9,1,singapore river,robertson quay,1.29078080113526,103.837445495482,0,7.0,70.0,1119.0,4,0,2587200.0
129,4,apartment,1,1.0,9,1,orchard,boulevard,1.30580609670053,103.833059609864,1,11.0,338.0,624.0,4,0,2728000.0
130,4,apartment,1,1.0,7,1,downtown core,bugis,1.29850522262382,103.857088439281,0,92.0,558.0,409.0,4,0,1617000.0
131,4,apartment,2,1.0,13,1,toa payoh,potong pasir,1.33154468020698,103.866996465418,0,4.0,731.0,859.0,6,1,1237500.0
132,4,apartment,6,5.0,2,1,bukit merah,everton park,1.27588976787545,103.83815170912202,1,92.0,262.0,2228.0,4,0,7699800.0
133,4,condominium,2,2.0,3,1,singapore river,robertson quay,1.2896097164683,103.841276389346,0,23.0,492.0,1055.0,4,0,1870000.0
134,4,apartment,2,2.0,14,1,geylang,aljunied,1.31253129900962,103.888139939124,1,8.0,36.0,979.0,5,0,1375000.0
135,4,condominium,3,4.0,10,1,bukit timah,ulu pandan,1.31987664656565,103.781130442617,1,37.0,170.0,1959.0,6,0,3960000.0
136,4,apartment,2,2.0,9,1,newton,cairnhill,1.30682945098827,103.838164594407,1,11.0,140.0,1281.0,10,1,3608000.0
137,4,apartment,4,2.0,27,0,yishun,yishun central,1.4271730204268198,103.836266579618,0,4.0,920.0,1270.0,4,0,2120800.0
138,4,condominium,3,2.0,12,1,kallang,bendemeer,1.3218204074661002,103.864744134712,0,6.0,862.0,979.0,4,0,1683000.0
139,4,condominium,6,4.0,19,0,hougang,kovan,1.36101098064253,103.880153745142,1,24.0,466.4,2260.0,3,0,2860000.0
140,4,condominium,1,1.0,22,0,jurong east,jurong gateway,1.33555731797921,103.742416815373,0,6.0,738.0,474.0,6,0,968000.0
141,4,apartment,1,1.0,2,1,downtown core,anson,1.27347663345182,103.845553160818,0,8.0,202.0,592.0,6,0,1331000.0
142,4,apartment,3,2.0,5,0,clementi,faber,1.31702437516587,103.760349630999,0,52.0,1468.0,969.0,4,0,2025100.0
143,4,apartment,2,2.0,6,1,singapore river,clarke quay,1.2914248297393,103.844383363038,0,9.0,696.0,829.0,4,1,2415600.0
144,4,executive condominium,4,2.0,22,0,jurong west,taman jurong,1.33215538990119,103.723817615498,0,6.0,546.0,1249.0,3,0,1738000.0
145,4,condominium,1,1.0,2,1,bukit merah,everton park,1.27527115223131,103.83683222505,1,9.0,351.0,603.0,3,0,1518000.0
146,4,apartment,1,1.0,1,1,downtown core,cecil,1.27708340707631,103.849181343548,0,5.0,510.0,721.0,7,1,2200000.0
147,4,apartment,1,1.0,19,0,serangoon,serangoon garden,1.36565982088201,103.873224518821,0,-1.0,1052.0,474.0,3,0,825000.0
148,4,condominium,5,5.0,18,0,pasir ris,pasir ris central,1.37233081948329,103.943417527664,0,11.0,724.0,2679.0,3,0,2915000.0
149,4,apartment,1,1.0,8,1,kallang,kampong java,1.31416383479813,103.853905530109,1,12.0,46.0,431.0,5,0,811800.0
150,4,apartment,4,3.0,9,1,river valley,leonie hill,1.29906600768056,103.832068608699,1,11.0,53.0,2432.0,4,1,6380000.0
151,4,apartment,1,1.0,2,1,downtown core,tanjong pagar,1.27516997577919,103.844496312645,0,15.0,646.0,570.0,4,0,1188000.0
152,4,apartment,1,1.0,9,1,newton,cairnhill,1.30819265200559,103.838374549594,1,8.0,52.0,689.0,3,0,1870000.0
153,4,apartment,4,2.0,19,0,hougang,kangkar,1.3705124214993798,103.899646123343,0,-1.0,1472.0,1485.0,3,0,2439800.0
154,4,condominium,2,2.0,9,1,river valley,institution hill,1.2934966639073,103.8381049101,0,1.0,450.0,764.0,4,0,1961300.0
155,4,apartment,1,1.0,9,1,river valley,oxley,1.2972729466104298,103.838940257017,1,6.0,76.0,710.0,5,0,3099800.0
156,4,apartment,2,1.0,14,0,bedok,kembangan,1.32088202092246,103.91009200714198,1,10.0,32.0,635.0,5,0,1089000.0
157,4,condominium,2,1.0,9,1,newton,cairnhill,1.30980898738366,103.834917913837,1,24.0,136.0,1098.0,6,0,2915000.0
158,4,condominium,3,4.0,3,1,bukit merah,alexandra north,1.2929389935100302,103.821693138843,0,4.0,663.0,1195.0,6,0,2552000.0
159,0,apartment,5,4.0,21,1,bukit timah,anak bukit,1.34013731823673,103.768787031514,1,62.0,466.4,1884.0,9,0,4350500.0
160,4,condominium,4,4.0,19,0,serangoon,upper paya lebar,1.34579628007765,103.880801954328,1,1.0,80.0,1291.0,3,0,2640000.0
161,4,condominium,2,2.0,9,1,river valley,institution hill,1.29303736708345,103.837772811242,0,1.0,450.0,883.0,4,0,3105300.0
162,1,apartment,3,3.0,1,1,downtown core,central subzone,1.2772242561628302,103.853694940241,0,5.0,1042.0,1593.0,5,0,4495700.0
163,4,apartment,2,2.0,15,1,marine parade,mountbatten,1.29647219511777,103.891034649257,1,92.0,200.0,689.0,4,0,2033900.0
164,2,apartment,4,3.0,5,1,queenstown,kent ridge,1.28749505390492,103.793610594541,0,52.0,1862.0,1313.0,3,1,2560800.0
165,4,condominium,2,2.0,11,1,novena,malcolm,1.32534460429599,103.840724426138,1,-1.0,90.0,829.0,4,0,2536000.0
166,4,condominium,3,2.0,19,0,serangoon,upper paya lebar,1.34478691681927,103.878778848783,1,37.0,250.0,850.0,4,0,2026200.0
167,4,apartment,2,1.0,10,1,bukit timah,coronation road,1.33049827080051,103.796577625251,0,62.0,476.0,646.0,3,1,1595000.0
168,4,apartment,2,1.0,19,1,toa payoh,joo seng,1.34036185896759,103.883846444139,0,-1.0,115.0,657.0,4,0,1210000.0
169,4,apartment,3,2.0,11,1,novena,moulmein,1.31467262956125,103.839010845653,1,62.0,340.0,1163.0,12,0,3554100.0
170,4,apartment,3,3.0,17,0,pasir ris,pasir ris park,1.37785629605717,103.957089619973,1,1.0,49.0,1130.0,4,0,2005300.0
171,0,apartment,1,1.0,21,1,bukit timah,anak bukit,1.33990853882395,103.767523150763,1,62.0,466.4,474.0,7,0,1071400.0
172,4,condominium,2,2.0,19,0,serangoon,upper paya lebar,1.34553420682452,103.880737418528,1,1.0,80.0,699.0,4,0,1688800.0
173,4,condominium,2,2.0,18,0,pasir ris,pasir ris central,1.36983181096693,103.946441576614,0,5.0,912.0,753.0,4,0,1078000.0
174,4,apartment,4,2.0,3,1,outram,pearl's hill,1.2829614865958898,103.839814598308,0,92.0,774.0,1432.0,4,0,3113000.0
175,4,apartment,2,1.0,9,1,river valley,institution hill,1.29371532764206,103.837276710508,1,8.0,105.0,775.0,5,0,1875500.0
176,4,condominium,3,3.0,9,1,newton,cairnhill,1.31032066930575,103.838400921041,0,15.0,387.0,1872.0,5,0,3718000.0
177,4,apartment,3,3.0,7,1,downtown core,nicoll,1.30026689906653,103.861865589801,0,8.0,360.0,1389.0,7,0,3740000.0
178,4,condominium,3,3.0,28,0,serangoon,seletar hills,1.3882277628451398,103.858740468004,1,27.0,179.0,1313.0,5,0,1650000.0
179,4,apartment,5,6.0,6,1,singapore river,clarke quay,1.2914248297393,103.844383363038,0,9.0,696.0,2874.0,4,0,14080000.0
180,4,apartment,2,2.0,8,1,kallang,kampong java,1.31782799598861,103.851970497394,1,6.0,106.0,678.0,9,0,1307800.0
181,4,apartment,3,2.0,14,0,bedok,frankel,1.3180672677588998,103.908811491066,1,62.0,42.0,915.0,3,0,1636800.0
182,4,apartment,3,3.0,9,1,newton,cairnhill,1.3074153524008705,103.83971731014,1,7.0,50.0,2303.0,9,0,8140000.0
183,4,apartment,2,1.0,1,1,downtown core,cecil,1.27708340707631,103.849181343548,0,5.0,510.0,721.0,6,0,1859000.0
184,4,condominium,4,4.0,17,0,pasir ris,flora drive,1.35521095284251,103.966422045067,0,7.0,501.0,1539.0,4,0,1925000.0
185,4,apartment,2,2.0,9,1,river valley,leonie hill,1.2972590729906102,103.831023686317,0,46.0,540.0,657.0,4,1,1977800.0
186,4,apartment,3,2.0,10,1,bukit timah,leedon park,1.31257730599051,103.79835625246,1,92.0,24.0,990.0,4,0,2750000.0
187,4,apartment,2,1.0,7,1,downtown core,bugis,1.29751049338808,103.856297302855,0,92.0,522.0,840.0,4,0,2217600.0
188,4,condominium,4,4.0,20,0,ang mo kio,kebun bahru,1.3754964123397602,103.833903324716,0,5.0,698.0,1313.0,4,0,2585000.0
189,4,apartment,2,2.0,10,1,tanglin,chatsworth,1.29570993713335,103.827568387283,1,17.0,66.0,883.0,7,0,2035000.0
190,4,condominium,3,2.0,27,0,yishun,yishun east,1.43456191549725,103.844362842957,0,4.0,660.0,893.0,4,0,1100000.0
191,2,apartment,2,1.0,5,1,queenstown,kent ridge,1.28734967872327,103.793056323472,0,52.0,1862.0,657.0,4,0,1236400.0
192,4,apartment,1,1.0,16,0,bedok,bedok south,1.32112663542292,103.957520577028,1,12.0,75.0,517.0,4,0,977800.0
193,4,condominium,2,2.0,10,1,bukit timah,farrer court,1.31356614088715,103.803217953455,1,62.0,638.0,818.0,4,1,2404700.0
194,4,apartment,4,2.0,9,1,novena,moulmein,1.31273110891936,103.840805628022,0,92.0,378.0,1528.0,4,0,3752100.0
195,4,apartment,1,1.0,2,1,downtown core,anson,1.2738629435052,103.843710484506,0,62.0,351.0,441.0,3,0,1447600.0
196,4,condominium,2,2.0,4,1,bukit merah,maritime square,1.27035025509729,103.813967319772,1,8.0,141.0,958.0,5,0,2068000.0
197,4,condominium,2,3.0,17,0,pasir ris,flora drive,1.3558859934741003,103.965304613692,0,7.0,486.0,1292.0,4,1,1430000.0
198,4,condominium,3,3.0,28,0,serangoon,seletar hills,1.3882277628451398,103.858740468004,1,27.0,179.0,1594.0,4,0,2046000.0
199,4,condominium,1,1.0,3,1,singapore river,robertson quay,1.2896097164683,103.841276389346,0,23.0,492.0,743.0,5,0,1298000.0
200,4,condominium,3,3.0,9,1,rochor,mount emily,1.30158083491052,103.848507995671,1,8.0,272.0,1992.0,5,0,3740000.0
201,4,apartment,1,1.0,20,1,bishan,upper thomson,1.35665447059553,103.828736711218,1,7.0,65.0,581.0,4,0,1188000.0
202,4,apartment,1,1.0,9,1,novena,moulmein,1.31283039144925,103.841544287772,1,92.0,120.0,549.0,4,0,1595700.0
